Title,Description,Genres,Poster_URL
Cyborg,A martial artist hunts a killer in a plague-infested urban dump of the future.,"Science Fiction, Action, Thriller, Adventure",https://image.tmdb.org/t/p/w500/nOspcG8HP6KPdMvzezavRbzYCEw.jpg
Four Rode Out,"In this western, a Mexican desperado tries to flee his partner, a determined girl friend, and a US Marshal.",Western,https://image.tmdb.org/t/p/w500/9hkmRjZFEAbEJFmnqqQVgDcADQ7.jpg
Windtalkers,"Joe Enders is a gung-ho Marine assigned to protect a ""windtalker"" - one of several Navajo Indians who were used to relay messages during World War II because their spoken language was indecipherable to Japanese code breakers.","War, Action, History",https://image.tmdb.org/t/p/w500/547q4HXlvEcS06lujfb2yzsTP3H.jpg
Three Poplars on Plyuschikha Street,A married woman fresh from the countryside meets a charming cab driver on her first day in Moscow. They spend the day together and their fondness for each other grows...,"Drama, Romance",https://image.tmdb.org/t/p/w500/sw6b08nDd7NjaaOJkoV9Bdq1fJn.jpg
Prisoners of the Ghostland,"In the treacherous frontier city of Samurai Town, a ruthless bank robber is sprung from jail by wealthy warlord The Governor, whose adopted granddaughter Bernice has gone missing. The Governor offers the prisoner his freedom in exchange for retrieving the runaway. Strapped into a leather suit that will self-destruct within five days, the bandit sets off on a journey to find the young woman—and his own path to redemption.","Action, Fantasy, Horror, Thriller",https://image.tmdb.org/t/p/w500/j5HRzcvN1QXZLvwfc3NLxX8XQJY.jpg
"Now, Voyager",A woman suffers a nervous breakdown and an oppressive mother before being freed by the love of a man she meets on a cruise.,"Romance, Drama",https://image.tmdb.org/t/p/w500/kWtJ1C98fQB1fUDSfqb1NGBPPK8.jpg
Samba,"Samba migrated to France 10 years ago from Senegal, and has since been plugging away at various lowly jobs. Alice is a senior executive who has recently undergone a burnout. Both struggle to get out of their dead-end lives. Samba's willing to do whatever it takes to get working papers, while Alice tries to get her life back on track until fate draws them together.","Drama, Comedy",https://image.tmdb.org/t/p/w500/4U0OwAZCxaFWzteynhbtBwRxEBM.jpg
Skylines,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.","Science Fiction, Action, Thriller",https://image.tmdb.org/t/p/w500/2W4ZvACURDyhiNnSIaFPHfNbny3.jpg
Have a Good Trip: Adventures in Psychedelics,"Celebrities recall their most mind-bending trips via animations, reenactments and more in this comedic documentary exploring the story of psychedelics.","Documentary, Comedy",https://image.tmdb.org/t/p/w500/x3NX8v5t8a0yabCnlskpjXPkRKP.jpg
The Adventures,"Joy, a secretary at a large multinational company, has an online shopping problem, likes to read adventure novels and watch travel and adventure shows. She daydreams about living a life of adventure.","Romance, Comedy, Adventure",https://image.tmdb.org/t/p/w500/z3SeS4wjKQ3TjHSvRidovGJbHYb.jpg
Watchmen: Chapter I,"In 1985, the murder of a government-sponsored superhero draws his outlawed colleagues out of retirement and into a mystery that threatens to upend their personal lives and the world itself.","Animation, Drama, Science Fiction",https://image.tmdb.org/t/p/w500/tE2vZ6HdlmKaBh0wpsvHCf7HJKo.jpg
London,London is a drug laden adventure that centers on a party in a New York loft where a young man is trying to win back his ex-girlfriend.,"Drama, Romance",https://image.tmdb.org/t/p/w500/zvNHklUZcrwdN8xpL7Vsqedru5l.jpg
Firehouse,Conflict erupts within a close-knit engine company of a big-city fire department when a black recruit and a bigoted white veteran clash during a wave of suspected arson in the ghetto. Pilot to the short-lived series that began a run in January 1974.,"Drama, Action, TV Movie",https://image.tmdb.org/t/p/w500/7eupRYebTYqA5zImIHGcKQ49mdW.jpg
